strain	gisaid_epi_isl	genbank_accession	submitting_lab	authors	originating_lab	url
hCoV-19/Denmark/DCGC-39491/2021	EPI_ISL_970885		Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortium	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	https://www.gisaid.org
hCoV-19/Denmark/DCGC-34818/2021	EPI_ISL_925958		Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortium	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	https://www.gisaid.org
hCoV-19/Denmark/DCGC-39494/2021	EPI_ISL_970888		Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortium	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	https://www.gisaid.org
hCoV-19/Denmark/DCGC-31239/2021	EPI_ISL_855619		Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortium	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	https://www.gisaid.org
hCoV-19/Denmark/DCGC-39496/2021	EPI_ISL_970890		Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortium	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	https://www.gisaid.org
hCoV-19/Denmark/DCGC-34823/2021	EPI_ISL_925963		Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortium	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	https://www.gisaid.org
hCoV-19/Denmark/DCGC-34825/2021	EPI_ISL_925965		Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortium	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	https://www.gisaid.org
hCoV-19/Denmark/DCGC-43805/2021	EPI_ISL_1024183		Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortium	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	https://www.gisaid.org
hCoV-19/Denmark/DCGC-26971/2020	EPI_ISL_817332		Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortium	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	https://www.gisaid.org
hCoV-19/Denmark/DCGC-39499/2021	EPI_ISL_970893		Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortium	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	https://www.gisaid.org
hCoV-19/Denmark/DCGC-30500/2021	EPI_ISL_847218		Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortium	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	https://www.gisaid.org
hCoV-19/Denmark/DCGC-28160/2021	EPI_ISL_844730		Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortium	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	https://www.gisaid.org
hCoV-19/Denmark/DCGC-33606/2021	EPI_ISL_870616		Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortium	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	https://www.gisaid.org
hCoV-19/Denmark/DCGC-34832/2021	EPI_ISL_925972		Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortium	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	https://www.gisaid.org
hCoV-19/Denmark/DCGC-28384/2021	EPI_ISL_844739		Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortium	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	https://www.gisaid.org
hCoV-19/Denmark/DCGC-44062/2021	EPI_ISL_1024440		Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortium	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	https://www.gisaid.org
hCoV-19/Denmark/DCGC-34840/2021	EPI_ISL_925980		Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortium	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	https://www.gisaid.org
hCoV-19/Denmark/DCGC-44324/2021	EPI_ISL_1024702		Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortium	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	https://www.gisaid.org
hCoV-19/Denmark/DCGC-34845/2021	EPI_ISL_925985		Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortium	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	https://www.gisaid.org
hCoV-19/Denmark/DCGC-39507/2021	EPI_ISL_970903		Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortium	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	https://www.gisaid.org
hCoV-19/Denmark/DCGC-39513/2021	EPI_ISL_970909		Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortium	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	https://www.gisaid.org
hCoV-19/Denmark/DCGC-43310/2021	EPI_ISL_1023622		Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortium	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	https://www.gisaid.org
hCoV-19/Denmark/DCGC-34029/2021	EPI_ISL_871039		Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortium	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	https://www.gisaid.org
hCoV-19/Denmark/DCGC-39521/2021	EPI_ISL_970917		Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortium	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	https://www.gisaid.org
hCoV-19/Denmark/DCGC-31876/2021	EPI_ISL_856292		Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortium	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	https://www.gisaid.org
hCoV-19/Denmark/DCGC-34864/2021	EPI_ISL_926004		Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortium	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	https://www.gisaid.org
hCoV-19/Denmark/DCGC-39530/2021	EPI_ISL_970927		Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortium	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	https://www.gisaid.org
hCoV-19/Denmark/DCGC-34873/2021	EPI_ISL_926013		Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortium	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	https://www.gisaid.org
hCoV-19/Denmark/DCGC-39534/2021	EPI_ISL_970932		Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortium	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	https://www.gisaid.org
hCoV-19/Denmark/DCGC-39537/2021	EPI_ISL_970935		Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortium	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	https://www.gisaid.org
hCoV-19/Denmark/DCGC-44585/2021	EPI_ISL_1024963		Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortium	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	https://www.gisaid.org
hCoV-19/Denmark/DCGC-32953/2021	EPI_ISL_869957		Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortium	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	https://www.gisaid.org
hCoV-19/Denmark/DCGC-34881/2021	EPI_ISL_926021		Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortium	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	https://www.gisaid.org
hCoV-19/Denmark/DCGC-28164/2021	EPI_ISL_844716		Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortium	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	https://www.gisaid.org
hCoV-19/Denmark/DCGC-32648/2021	EPI_ISL_869652		Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortium	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	https://www.gisaid.org
hCoV-19/Denmark/DCGC-32649/2021	EPI_ISL_869653		Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortium	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	https://www.gisaid.org
hCoV-19/Denmark/DCGC-32652/2021	EPI_ISL_869656		Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortium	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	https://www.gisaid.org
hCoV-19/Denmark/DCGC-34900/2021	EPI_ISL_926040		Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortium	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	https://www.gisaid.org
hCoV-19/Denmark/DCGC-32653/2021	EPI_ISL_869657		Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortium	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	https://www.gisaid.org
hCoV-19/Denmark/DCGC-43544/2021	EPI_ISL_1023922		Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortium	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	https://www.gisaid.org
hCoV-19/Denmark/DCGC-21570/2020	EPI_ISL_757880		Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortium	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	https://www.gisaid.org
hCoV-19/Denmark/DCGC-44328/2021	EPI_ISL_1024706		Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortium	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	https://www.gisaid.org
hCoV-19/Denmark/DCGC-44561/2021	EPI_ISL_1024939		Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortium	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	https://www.gisaid.org
hCoV-19/Denmark/DCGC-39551/2021	EPI_ISL_970951		Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortium	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	https://www.gisaid.org
hCoV-19/Denmark/DCGC-39552/2021	EPI_ISL_970952		Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortium	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	https://www.gisaid.org
hCoV-19/Denmark/DCGC-23017/2020	EPI_ISL_793399		Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortium	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	https://www.gisaid.org
hCoV-19/Denmark/DCGC-39553/2021	EPI_ISL_970953		Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortium	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	https://www.gisaid.org
hCoV-19/Denmark/DCGC-34916/2021	EPI_ISL_926056		Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortium	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	https://www.gisaid.org
hCoV-19/Denmark/DCGC-34918/2021	EPI_ISL_926058		Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortium	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	https://www.gisaid.org
hCoV-19/Denmark/DCGC-27795/2020	EPI_ISL_815499		Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortium	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	https://www.gisaid.org
hCoV-19/Denmark/DCGC-39557/2021	EPI_ISL_970957		Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortium	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	https://www.gisaid.org
hCoV-19/Denmark/DCGC-39558/2021	EPI_ISL_970958		Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortium	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	https://www.gisaid.org
hCoV-19/Denmark/DCGC-44562/2021	EPI_ISL_1024940		Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortium	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	https://www.gisaid.org
hCoV-19/Denmark/DCGC-43547/2021	EPI_ISL_1023925		Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortium	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	https://www.gisaid.org
hCoV-19/Denmark/DCGC-44563/2021	EPI_ISL_1024941		Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortium	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	https://www.gisaid.org
hCoV-19/Denmark/DCGC-39562/2021	EPI_ISL_970962		Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortium	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	https://www.gisaid.org
hCoV-19/Denmark/DCGC-39424/2021	EPI_ISL_970810		Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortium	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	https://www.gisaid.org
hCoV-19/Denmark/DCGC-34946/2021	EPI_ISL_926086		Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortium	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	https://www.gisaid.org
hCoV-19/Denmark/DCGC-31966/2021	EPI_ISL_856382		Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortium	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	https://www.gisaid.org
hCoV-19/Denmark/DCGC-44065/2021	EPI_ISL_1024443		Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortium	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	https://www.gisaid.org
hCoV-19/Denmark/DCGC-43312/2021	EPI_ISL_1023624		Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortium	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	https://www.gisaid.org
hCoV-19/Denmark/DCGC-39432/2021	EPI_ISL_970819		Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortium	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	https://www.gisaid.org
hCoV-19/Denmark/DCGC-26982/2020	EPI_ISL_817320		Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortium	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	https://www.gisaid.org
hCoV-19/Denmark/DCGC-39436/2021	EPI_ISL_970823		Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortium	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	https://www.gisaid.org
hCoV-19/Denmark/DCGC-39438/2021	EPI_ISL_970825		Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortium	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	https://www.gisaid.org
hCoV-19/Denmark/DCGC-39440/2021	EPI_ISL_970828		Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortium	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	https://www.gisaid.org
hCoV-19/Denmark/DCGC-20380/2020	EPI_ISL_758872		Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortium	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	https://www.gisaid.org
hCoV-19/Denmark/DCGC-31380/2021	EPI_ISL_855760		Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortium	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	https://www.gisaid.org
hCoV-19/Denmark/DCGC-21069/2020	EPI_ISL_758884		Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortium	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	https://www.gisaid.org
hCoV-19/Denmark/DCGC-23019/2020	EPI_ISL_793183		Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortium	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	https://www.gisaid.org
hCoV-19/Denmark/DCGC-39449/2021	EPI_ISL_970837		Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortium	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	https://www.gisaid.org
hCoV-19/Denmark/DCGC-34967/2021	EPI_ISL_926107		Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortium	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	https://www.gisaid.org
hCoV-19/Denmark/DCGC-34968/2021	EPI_ISL_926108		Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortium	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	https://www.gisaid.org
